2.30067,5.8435,434.657,171.13
2.43079,6.2368,411.39,160.339
2.16986,15.151,460.859,66.0022
2.09885,10.1219,476.452,98.7957
2.35144,9.9994,425.271,100.006
2.92307,16.772,342.106,59.6232
6.76136,15.5604,147.899,64.2657
6.28076,13.7976,159.216,72.4764
2.63742,11.3336,379.158,88.2332
2.77029,15.3438,360.973,65.1729
6.69843,19.5334,149.289,51.1944
5.92726,17.0353,168.712,58.7016
7.69994,18.5059,129.871,54.0368
7.01185,14.4254,142.616,69.3222
4.44256,13.8802,225.095,72.0451
6.4695,19.875,154.572,50.3145
6.07668,12.828,164.564,77.9545
4.3923,14.4786,227.671,69.0675
6.69485,15.276,149.368,65.4622
4.51206,20.2696,221.628,49.335
4.41279,12.8572,226.614,77.7774
3.48356,17.8251,287.063,56.1007
4.29323,15.4337,232.925,64.7933
3.64373,15.6785,274.444,63.7816
6.18876,17.36,161.583,57.6037
4.87834,16.0165,204.988,62.4356
3.63288,21.1697,275.264,47.2373
5.02624,16.4694,198.956,60.7187
4.70726,12.7644,212.438,78.3429
6.573,14.0483,152.137,71.183
6.85158,15.8543,145.952,63.0744
4.83507,16.7506,206.822,59.6994
2.75699,12.1712,362.714,82.1612
5.85035,12.883,170.93,77.6217
6.43434,16.4194,155.416,60.9036
6.23284,15.4612,160.441,64.678
2.9679,41.4662,336.939,24.116
5.21374,14.8153,191.801,67.4978
4.51929,15.5759,221.274,64.2017
4.42051,15.0089,226.218,66.6271
5.85227,13.9161,170.874,71.8592
4.41822,19.9973,226.336,50.0068
6.11176,13.4952,163.619,74.1004
3.94533,12.4359,253.464,80.4124
2.58511,12.4101,386.83,80.5795
2.38365,11.3009,419.525,88.4885
3.00021,14.0946,333.31,70.9492
